pH,MO,fosforo,azufre,calcio,magnesio,potasio,CIC,CE,anios_est,IPS
8.91,2.971,2282.0,15.09,35.34,5.627,1.289,43.15,0.568,0.5,72
5.66,1.17,8.9,3.79,3.26,0.7,0.11,4.11,0.14,0.5,50
5.54,7.849,35.93,14.57,5.22,1.615,0.445,7.417,0.275,0.5,81
5.55,4.384,7.799,5.081,3.188,0.709,0.045,3.999,0.138,0.5,54
6.05,2.09,2.08,24.62,11.38,0.53,0.27,12.23,0.22,0.5,66
6.56,2.134,30.17,16.95,10.52,2.339,0.311,13.61,0.261,0.5,82
4.67,3.29,4.85,9.11,2.02,0.75,0.27,12.09,0.23,0.5,55
4.53,3.067,21.95,7.704,3.308,0.45,0.09,5.149,0.912,0.5,52
7.71,1.768,22.91,181.6,8.944,6.144,0.498,21.39,3.188,0.5,67
4.32,2.0,1.935,3.92,0.56,0.1,0.045,2.9,0.11,0.5,32
5.78,1.74,1.935,5.8,6.26,7.08,0.2,13.78,0.35,0.5,71
6.03,2.751,40.32,10.24,14.94,4.099,1.362,20.54,0.747,3.0,87
5.41,17.29,2.657,8.937,5.615,2.837,0.185,9.602,0.239,0.5,73
5.77,4.07,46.68,7.53,24.52,0.79,0.18,25.55,0.21,15.0,81
5.18,4.36,17.29,9.23,1.33,0.61,0.38,7.03,0.12,0.5,59
6.8,0.609,20.86,7.713,3.922,0.927,0.209,5.212,0.304,0.5,63
7.79,2.505,48.47,12.58,8.91,1.912,0.892,11.79,0.313,0.5,73
4.83,1.519,1.935,3.81,0.726,0.277,0.045,2.589,0.107,3.0,37
4.91,1.6,0.645,1.66,0.44,0.26,0.045,1.96,0.06,0.5,37
4.88,10.45,22.86,8.392,1.844,0.72,0.302,5.908,0.562,0.5,62
5.26,6.755,8.568,13.4,1.336,0.717,0.937,5.984,0.2,0.5,62
6.93,2.29,40.04,11.86,24.09,8.53,1.4,34.12,0.33,3.0,89
5.55,5.946,1.935,7.701,8.961,2.303,0.363,11.92,0.387,0.5,84
4.6,8.36,1.33,8.17,0.26,0.18,0.12,2.28,0.19,0.5,45
6.87,1.893,13.89,8.442,16.37,2.742,0.338,19.75,0.25,0.5,82
5.42,2.65,6.16,3.1,1.55,0.37,0.24,3.67,0.13,0.5,45
5.0,3.103,27.61,3.454,6.569,0.502,0.252,13.83,0.187,0.5,69
4.38,13.84,7.515,8.783,0.525,0.221,0.186,5.525,0.668,0.5,48
7.12,0.803,65.9,3.423,9.36,4.687,0.486,14.6,0.343,15.0,79
7.48,0.74,58.56,298.55,15.67,8.21,0.14,40.51,0.223,0.5,66
4.809,4.133,3.032,3.066,0.992,0.37,0.224,3.963,0.161,0.5,44
7.05,1.28,25.11,160.57,18.12,4.59,0.44,24.55,3.32,0.5,72
6.39,1.649,6.753,10.71,16.87,5.49,0.447,22.9,1.02,0.5,74
6.03,1.646,5.621,2.282,7.084,1.802,0.254,9.272,0.206,0.5,64
6.61,1.65,11.05,4.73,16.94,12.97,0.93,31.13,0.21,0.5,84
5.15,5.72,21.25,5.29,4.93,1.66,0.23,8.77,0.18,0.5,73
4.76,2.055,1.935,1.701,1.515,0.502,0.045,3.152,0.191,7.5,37
5.18,11.06,7.709,5.449,1.717,0.656,0.465,6.389,0.139,0.5,63
4.51,1.722,9.471,7.054,1.066,0.646,0.106,4.146,0.214,0.5,37
6.12,2.225,5.903,4.171,6.986,2.571,0.045,9.794,0.106,15.0,64
6.2,4.64,12.15,17.76,10.18,2.43,0.36,13.03,1.86,0.5,78
4.33,5.69,2.4,7.79,1.34,0.31,0.21,10.14,0.26,0.5,51
5.29,1.627,4.056,1.148,4.627,2.746,0.121,7.83,0.282,0.5,59
5.88,2.82,6.55,2.16,11.4,0.4,0.21,12.08,0.1,0.5,66
6.71,1.63,1.935,4.166,11.01,6.764,0.175,18.48,0.215,0.5,76
6.32,2.647,2.582,3.497,9.114,3.118,0.121,12.62,0.326,15.0,70
5.04,2.59,0.645,3.14,0.21,0.1,0.045,1.79,0.05,0.5,42
4.66,5.98,11.26,8.29,4.16,2.37,0.47,10.95,0.46,0.5,75
5.41,7.367,26.1,2.365,5.599,2.436,0.6,10.79,0.161,0.5,85
4.52,2.09,0.645,3.8,0.35,0.1,0.045,3.63,0.5,0.5,35
5.0,6.094,6.41,3.842,4.305,1.723,0.329,7.34,0.57,0.5,68
7.51,1.14,27.59,12.5,13.18,4.74,0.37,18.78,0.33,0.5,75
5.44,2.562,4.466,2.079,4.243,3.29,0.107,7.999,0.164,0.5,59
7.0,2.05,12.9,2.47,16.19,5.35,0.2,21.82,0.21,3.0,79
6.75,7.861,153.6,711.3,25.03,6.516,4.005,37.75,16.16,0.5,89
5.11,1.36,2.14,5.07,1.51,0.4,0.045,3.3,0.1,0.5,42
5.44,11.82,24.73,5.746,3.664,0.764,0.303,6.357,0.279,7.5,72
4.99,1.4,0.645,0.59,1.15,0.88,0.17,19.45,0.05,0.5,51
6.37,3.22,8.403,6.202,5.91,1.33,0.59,8.21,0.223,0.5,61
6.45,0.917,1.935,1.291,9.38,4.577,0.045,14.13,0.102,0.5,70
4.77,0.91,4.09,3.59,2.92,0.27,0.045,7.86,0.16,0.5,44
5.18,10.9,2.084,3.787,1.659,0.956,0.198,3.848,0.272,3.0,56
5.61,6.69,49.62,31.71,11.84,0.74,0.67,13.32,0.3,0.5,87
5.81,4.145,11.86,6.817,5.214,1.803,0.928,8.172,0.322,0.5,76
5.63,2.713,2.885,5.122,8.124,1.665,0.105,9.949,0.123,3.0,63
5.6,1.17,80.27,22.58,2.56,0.57,0.38,3.63,0.51,0.5,62
5.65,4.785,71.62,15.29,13.94,10.78,1.904,27.03,0.723,3.0,91
5.74,4.19,0.645,7.92,3.79,1.84,0.55,6.21,0.17,0.5,70
5.78,7.76,4.14,25.33,2.51,0.54,0.35,3.46,0.36,3.0,64
8.71,1.1,39.77,29.96,23.19,4.09,0.38,28.28,0.88,0.5,68
5.63,5.342,11.81,7.647,3.856,1.079,0.169,5.197,0.133,7.5,72
8.07,2.34,39.25,7.03,16.54,5.22,0.54,22.53,0.21,0.5,72
6.27,3.67,3.65,7.16,3.11,2.06,0.12,5.44,0.12,0.5,65
5.9,1.96,5.93,8.84,4.71,1.09,0.3,6.18,0.15,3.0,64
4.75,2.146,3.307,0.998,0.879,0.113,0.045,2.427,0.116,7.5,37
4.519,6.606,84.72,30.93,5.454,1.979,0.925,10.2,1.21,3.0,74
5.98,2.59,4.27,12.06,5.34,2.93,0.57,9.01,0.2,0.5,72
6.42,13.86,18.17,18.06,22.3,1.555,0.877,24.98,0.653,0.5,90
6.53,2.355,170.3,5.32,8.91,2.528,0.223,11.69,0.131,3.0,81
5.28,1.67,3.5,1.7,1.03,0.32,0.045,2.49,0.06,3.0,42
4.52,3.19,2.61,13.48,0.4,0.14,0.045,3.25,0.21,0.5,41
5.11,1.126,43.39,0.874,1.096,0.568,0.045,2.469,0.235,0.5,50
5.48,1.82,8.688,22.7,3.93,5.899,0.236,11.69,0.179,3.0,63
4.599,1.24,5.0,11.5,2.324,0.399,0.285,4.312,0.18,0.5,43
5.64,8.078,3.99,12.43,12.46,1.461,0.241,14.5,0.346,0.5,78
4.74,2.02,6.36,0.74,2.15,0.85,0.12,5.94,0.21,0.5,44
5.64,3.77,6.411,9.716,6.763,1.534,0.3,8.735,0.23,7.5,68
6.4,0.875,2.811,3.603,8.974,4.56,0.106,13.82,0.135,0.5,70
5.56,1.16,1.935,6.202,3.56,2.4,0.13,6.44,0.38,0.5,61
5.31,16.73,27.25,6.451,6.63,0.775,1.012,10.05,0.603,0.5,79
6.11,6.794,6.592,8.287,11.3,1.024,0.416,12.93,0.517,0.5,79
7.29,0.489,1.935,12.1,6.337,3.466,0.045,9.991,0.147,0.5,59
4.42,1.584,10.54,19.0,0.933,0.556,0.1,4.311,0.457,0.5,35
5.03,3.55,72.66,5.22,4.08,0.88,0.27,7.04,0.24,7.5,67
5.2,3.818,35.45,5.899,3.637,0.51,0.204,5.539,0.22,0.5,62
4.61,1.31,1.935,11.27,0.56,0.1,0.045,4.18,0.1,3.0,37
6.69,6.84,77.24,18.9,14.7,2.66,0.36,18.06,0.7,0.5,93
4.36,2.152,15.63,4.303,0.57,0.336,0.099,3.202,0.289,0.5,35
6.17,2.304,5.394,2.608,15.91,3.824,0.329,20.17,0.196,15.0,79
5.29,11.01,32.97,9.265,3.473,0.557,0.172,4.797,0.182,0.5,65
7.13,2.16,25.77,4.97,20.34,8.49,0.58,29.61,0.29,0.5,82
5.07,11.68,1.935,5.043,2.052,0.517,0.162,4.375,0.198,0.5,59
4.87,6.285,1.912,7.656,2.252,0.899,0.26,5.71,0.207,0.5,55
6.45,4.28,27.25,3.0,14.66,4.55,0.18,19.48,0.17,3.0,86
5.33,7.77,4.578,26.6,1.207,0.362,0.312,2.771,0.188,7.5,56
4.62,1.1,1.935,3.76,0.295,0.1,0.045,2.32,0.11,3.0,37
5.95,1.72,4.91,19.37,2.08,0.15,0.045,2.35,0.17,3.0,50
5.4,4.4,1.58,12.37,5.01,1.03,0.2,6.33,0.35,0.5,63
4.59,5.629,8.537,3.644,1.547,0.082,0.204,7.626,0.218,0.5,52
7.14,0.66,35.3,9.66,10.24,7.67,1.39,19.55,0.4,0.5,82
4.76,0.937,5.356,9.625,0.724,0.207,0.122,1.525,0.609,0.5,35
5.79,14.78,11.7,7.791,8.776,2.641,2.478,14.29,0.433,0.5,92
5.05,0.91,0.645,1.05,0.4,0.13,0.045,1.13,0.03,0.5,42
8.78,2.17,81.62,15.13,55.78,6.32,7.03,67.96,1.13,0.5,69
5.32,3.977,8.257,12.44,7.242,2.557,0.338,11.06,0.675,0.5,71
6.11,1.404,4.728,1.358,4.541,2.174,0.045,6.965,0.077,7.5,64
5.01,1.03,0.645,13.24,0.18,0.08,0.045,1.18,0.04,0.5,42
5.0,15.66,85.2,15.41,5.458,0.456,1.372,9.559,0.851,0.5,77
5.23,7.13,4.532,7.503,7.206,1.761,0.269,10.52,0.205,0.5,71
5.66,9.455,1.935,11.75,4.809,0.612,0.294,6.295,0.248,0.5,68
4.56,1.45,2.98,3.77,0.54,0.24,0.13,4.47,0.16,0.5,37
4.92,8.26,12.75,4.41,1.71,0.4,0.17,5.01,0.11,0.5,55
5.79,2.991,10.3,7.842,4.305,0.801,0.768,5.918,0.166,0.5,68
5.94,15.43,57.69,3.72,12.68,1.27,0.31,14.33,0.3,3.0,92
5.08,2.17,5.0,3.34,0.92,0.23,0.045,4.18,0.07,0.5,42
5.18,1.64,1.51,5.44,0.95,0.5,0.13,3.53,0.08,0.5,42
6.72,2.325,5.164,1.463,14.31,7.704,0.106,22.23,0.106,0.5,73
5.3,18.89,1.935,5.325,2.913,0.592,0.134,5.313,0.16,0.5,60
7.74,2.69,3.87,2.06,20.26,10.31,0.17,30.8,0.15,0.5,66
5.059,2.732,13.32,5.75,1.67,0.536,0.388,2.938,0.207,0.5,51
6.03,2.898,1.911,4.415,8.199,2.035,0.281,10.55,0.262,0.5,73
7.17,3.96,18.27,4.737,29.27,0.433,0.161,29.99,0.38,0.5,71
4.47,0.93,1.935,11.62,0.56,0.1,0.16,11.67,0.12,15.0,43
5.47,1.772,1.935,6.385,1.329,0.363,0.045,2.137,0.216,0.5,42
5.86,2.334,29.73,6.067,3.818,1.624,0.652,6.297,0.303,0.5,72
6.29,3.0,7.34,2.5,14.07,1.72,0.19,16.05,0.13,0.5,73
6.82,1.61,8.63,5.15,9.74,2.82,0.47,13.08,0.33,0.5,76
5.74,2.697,29.68,3.331,6.477,2.898,0.16,9.601,0.146,0.5,73
4.94,1.43,1.935,1.98,0.597,0.218,0.107,6.746,0.085,0.5,41
6.88,2.669,13.99,4.48,18.93,3.548,0.767,23.44,0.228,0.5,84
5.14,8.91,65.35,42.1,6.65,2.04,2.01,11.54,1.56,0.5,82
4.5,1.59,1.935,4.71,0.56,0.25,0.14,4.78,0.09,7.5,37
4.98,2.72,8.88,6.202,1.15,0.32,0.15,3.33,0.12,0.5,37
4.59,1.14,57.41,1.914,0.497,0.382,0.045,3.934,0.092,0.5,45
8.51,0.71,21.41,37.02,26.84,3.07,0.33,30.81,0.68,0.5,68
6.22,2.937,2.916,3.294,10.38,9.956,0.045,20.58,0.275,3.0,73
5.82,3.163,1.935,3.449,10.66,2.736,0.127,13.84,0.234,7.5,74
5.94,16.07,12.26,5.527,3.176,0.678,0.966,4.864,0.512,0.5,70
4.99,8.4,8.403,9.34,3.85,1.08,0.51,7.01,0.43,7.5,62
7.4,6.07,8.403,40.03,27.76,1.99,2.28,32.59,0.18,0.5,79
5.92,9.13,110.6,11.27,7.796,1.818,0.997,11.01,0.59,0.5,87
5.52,1.249,10.76,41.54,6.547,0.556,0.121,7.325,0.385,0.5,60
4.83,3.235,3.46,3.12,0.393,0.123,0.045,1.362,0.83,0.5,39
5.51,9.25,7.331,4.409,3.287,0.549,0.185,4.163,0.217,3.0,61
7.93,5.341,56.46,4.759,36.37,1.931,0.549,38.95,0.433,0.5,84
6.03,2.25,7.28,5.53,9.53,4.21,0.22,14.0,0.4,7.5,73
6.26,1.608,12.47,3.132,11.2,2.751,0.581,14.64,0.375,0.5,81
4.29,10.55,7.88,9.19,0.15,0.13,0.09,1.98,0.5,0.5,41
5.71,25.4,33.02,20.41,10.85,3.269,1.152,15.49,0.388,3.0,98
5.2,16.18,14.82,5.86,2.964,0.807,0.846,6.811,0.617,0.5,69
4.65,1.98,1.935,5.5,0.56,0.33,0.045,3.4,0.16,0.5,37
6.1,1.965,31.53,3.948,11.3,2.757,0.193,14.5,0.136,0.5,79
4.639,5.301,1.935,4.947,0.25,0.201,0.045,7.594,0.115,0.5,49
6.89,2.022,45.34,6.68,15.98,4.947,0.535,21.61,0.328,0.5,89
5.62,0.93,66.12,19.02,1.595,0.514,0.591,3.305,0.161,0.5,63
6.31,1.328,35.62,3.056,4.829,1.48,0.111,6.476,0.133,7.5,67
5.099,17.92,11.71,5.546,1.918,0.633,0.486,6.523,0.227,0.5,66
5.2,25.39,51.31,14.06,2.147,0.459,0.48,5.261,0.336,0.5,74
5.66,17.15,10.46,6.38,4.455,1.171,0.777,6.47,0.174,3.0,83
4.73,1.38,1.935,19.65,0.295,0.1,0.09,3.98,0.08,0.5,37
5.81,7.26,2.93,7.243,3.556,1.47,0.169,5.25,0.171,3.0,69
6.44,3.511,4.448,1.014,1.921,0.904,0.652,3.566,0.153,0.5,59
5.23,1.1,1.935,1.97,0.295,0.51,0.045,4.3,0.21,0.5,42
6.8,4.277,35.92,5.899,9.95,2.673,0.501,13.52,0.425,0.5,88
6.33,3.715,168.5,161.5,3.126,1.13,0.111,4.695,3.994,0.5,58
5.059,22.77,63.87,8.615,1.95,0.339,0.187,5.965,0.233,3.0,68
6.37,1.118,5.439,6.664,10.91,5.023,0.312,16.6,0.246,0.5,79
5.78,12.69,7.299,4.985,5.8,0.964,0.725,7.65,0.16,0.5,76
4.73,3.43,0.645,5.33,0.97,0.3,0.045,3.55,0.11,3.0,41
5.6,6.086,42.25,4.991,6.215,1.603,0.675,8.521,0.366,0.5,85
5.38,3.29,31.64,33.54,6.49,1.98,1.17,10.68,0.29,0.5,78
5.14,14.68,18.41,14.73,3.541,0.94,0.045,5.905,0.491,15.0,63
5.47,2.118,1.935,10.04,9.028,2.83,0.329,13.52,0.118,3.0,71
5.36,4.43,52.65,7.44,3.08,0.39,0.21,5.76,0.16,0.5,64
5.15,10.49,98.74,7.332,6.613,0.671,1.154,10.36,0.225,3.0,83
8.13,1.103,33.59,8.671,13.69,1.815,0.154,16.07,0.907,0.5,62
5.52,1.16,1.935,6.202,0.56,0.1,0.045,1.02,0.08,3.0,47
6.53,7.29,254.87,4.57,14.78,4.16,0.53,19.56,0.46,3.0,97
5.37,0.97,1.935,0.84,9.24,3.6,0.13,14.21,0.12,3.0,65
4.97,1.66,0.645,9.82,0.94,0.14,0.045,1.71,0.15,0.5,37
5.86,16.63,1.935,14.14,13.57,2.507,0.672,16.85,0.343,0.5,92
4.29,3.04,1.935,0.62,0.295,0.1,0.12,9.3,0.34,0.5,40
4.88,1.41,3.37,8.06,0.49,0.14,0.045,1.71,0.13,0.5,37
5.88,1.682,4.836,4.446,4.72,2.141,0.147,7.11,0.135,0.5,64
5.03,6.07,4.01,7.06,0.92,0.29,0.1,4.1,0.15,0.5,50
4.22,8.36,7.97,8.92,0.34,0.15,0.18,8.11,0.22,3.0,47
5.34,8.33,39.13,4.79,1.45,0.46,0.23,3.97,0.21,0.5,59
4.94,6.766,6.949,3.16,0.786,0.606,0.163,4.999,0.103,0.5,48
5.72,8.565,4.594,3.355,1.615,0.57,0.587,2.876,0.254,7.5,63
5.66,4.438,1.935,2.54,7.495,1.459,0.49,9.546,0.245,0.5,71
5.14,1.722,49.67,2.117,1.685,0.388,0.045,2.77,0.17,0.5,50
5.18,0.41,0.645,61.99,0.43,0.33,0.11,2.01,0.05,0.5,42
6.71,4.72,8.4,2.14,10.98,4.8,0.14,16.08,0.22,7.5,77
6.48,1.22,2.27,9.8,15.17,9.75,0.42,25.58,0.28,0.5,79
4.62,1.815,4.806,59.11,0.25,0.396,0.184,1.785,0.625,0.5,38
6.29,0.74,5.042,4.114,1.348,0.1,0.045,1.688,0.143,0.5,47
6.26,2.59,51.28,5.03,15.94,3.53,0.44,19.79,0.31,0.5,87
5.58,2.823,5.916,9.817,5.01,1.628,0.134,6.953,0.203,0.5,61
6.8,0.52,6.67,6.202,10.25,4.44,0.12,14.96,0.13,0.5,70
6.73,2.41,1001.36,27.37,22.19,9.74,1.06,33.22,0.52,0.5,87
4.32,2.244,4.154,5.212,2.663,0.295,0.045,8.115,0.266,7.5,39
6.55,2.763,2.74,2.439,16.58,8.367,0.355,25.45,0.232,0.5,79
4.85,7.6,17.64,11.03,4.25,1.63,0.9,8.16,0.88,0.5,68
3.49,3.242,188.7,8.791,0.249,0.071,0.297,4.049,0.438,0.5,47
5.24,12.55,8.91,9.66,2.49,0.81,0.55,4.93,0.36,7.5,64
4.37,13.05,43.4,17.03,2.26,0.37,0.46,8.8,0.76,0.5,62
4.78,0.57,5.19,5.54,0.51,0.12,0.045,1.36,0.4,0.5,37
5.67,3.394,8.629,3.709,4.754,0.863,0.227,5.872,0.219,3.0,64
4.47,21.46,8.76,4.08,0.43,0.22,0.3,5.57,0.63,3.0,48
5.68,6.29,6.04,8.79,8.65,1.89,0.85,11.53,0.31,0.5,83
5.63,8.78,22.17,7.65,5.26,1.04,0.49,6.84,0.42,0.5,81
4.18,2.387,1.935,10.79,0.25,0.1,0.045,3.509,0.25,0.5,32
8.49,3.323,242.1,4.799,11.15,4.996,0.361,16.6,0.318,7.5,76
6.04,5.866,9.62,5.843,9.044,2.082,0.425,11.74,0.434,0.5,84
5.86,6.72,5.39,9.57,8.23,2.39,0.5,11.22,0.17,0.5,84
4.67,8.739,37.72,6.413,1.327,0.4,0.247,6.536,0.259,0.5,58
6.18,0.97,5.894,18.85,17.65,9.058,0.369,28.36,0.2,3.0,79
4.74,1.81,3.59,5.26,1.48,0.66,0.13,4.23,0.22,0.5,37
4.88,2.59,7.83,3.64,4.5,0.49,0.17,9.34,0.17,15.0,50
5.4,7.665,9.197,5.479,1.716,0.89,0.45,4.273,0.307,0.5,56
4.66,2.09,2.66,6.73,0.2,0.08,0.045,3.21,0.12,7.5,37
6.78,1.53,1.54,3.96,6.84,3.2,0.17,10.37,0.11,7.5,71
4.98,2.97,6.86,6.8,1.07,0.27,0.045,5.01,0.12,0.5,41
4.57,1.97,0.645,9.56,0.34,0.1,0.045,3.07,0.07,0.5,37
5.47,3.547,2.417,8.765,3.093,1.071,0.786,5.717,0.216,0.5,65
5.98,3.141,27.3,8.605,3.481,1.418,0.227,5.236,0.108,0.5,71
7.5,0.98,3.744,2.457,5.929,4.33,0.045,10.52,0.154,0.5,63
4.83,1.134,1.935,111.8,2.682,0.533,0.629,5.626,3.061,0.5,44
4.49,3.78,0.645,2.79,0.46,0.24,0.045,4.16,0.16,7.5,36
5.66,8.484,23.72,24.19,20.42,3.05,1.633,26.3,2.596,7.5,87
5.98,0.62,88.13,4.12,1.51,0.29,0.09,1.96,0.06,0.5,55
5.17,1.74,6.85,4.79,3.07,0.7,0.11,5.34,0.07,15.0,49
7.15,0.86,9.36,51.81,9.37,7.71,0.21,17.63,0.52,0.5,69
5.36,3.53,8.05,5.02,2.68,2.21,0.34,7.27,0.1,0.5,66
5.4,2.814,29.6,29.05,6.456,1.502,0.182,8.811,0.53,0.5,63
5.05,10.42,21.29,25.33,3.087,0.913,0.147,6.26,0.427,7.5,66
5.76,23.21,5.58,3.32,2.17,0.78,0.59,3.59,0.14,0.5,69
5.51,6.07,10.53,6.93,11.12,1.18,0.36,12.77,0.21,3.0,84
6.31,2.34,9.56,4.88,13.08,7.74,0.1,21.04,0.26,0.5,73
7.53,7.262,30.31,8.767,45.95,0.923,0.367,47.48,0.745,0.5,74
5.29,2.319,1.935,4.939,3.6,1.76,0.49,6.086,0.388,7.5,59
6.19,2.86,6.08,2.82,4.54,0.95,0.045,5.65,0.15,0.5,57
8.529,1.545,1.935,25.8,46.78,0.574,0.094,47.81,0.863,15.0,49
7.75,5.385,10.96,9.074,12.21,1.968,0.126,14.35,0.716,15.0,66
5.89,1.047,4.827,5.16,2.011,0.912,0.045,3.266,0.155,0.5,50
5.82,0.59,3.01,6.202,11.08,6.24,0.23,22.68,0.27,0.5,76
7.38,2.0,37.24,2.86,7.07,1.75,0.49,9.36,0.18,0.5,68
7.8,3.273,79.75,3.38,28.18,2.936,1.125,32.38,0.78,0.5,81
5.93,2.74,12.58,7.27,7.95,3.96,0.22,12.19,0.36,0.5,74
5.28,3.09,99.04,13.07,6.03,1.07,0.56,8.45,0.33,0.5,76
5.059,1.506,1.935,13.29,1.445,0.314,0.135,3.376,0.143,7.5,42
5.9,4.55,4.75,4.64,6.43,2.57,0.4,9.5,0.21,0.5,74
6.11,1.55,0.645,3.41,12.03,13.19,0.21,25.49,0.11,0.5,76
4.25,4.014,4.607,2.478,0.411,0.092,0.045,2.415,0.169,15.0,36
4.98,1.273,1.935,2.089,1.026,0.362,0.179,8.009,0.067,0.5,44
5.58,2.075,9.021,8.974,2.455,0.97,0.045,3.716,0.131,0.5,50
5.2,1.45,8.19,7.211,0.66,0.38,0.39,2.593,0.265,3.0,48
4.53,21.19,44.09,10.37,16.06,1.356,0.384,20.51,0.739,0.5,83
5.22,4.53,16.98,21.38,1.67,0.42,0.35,4.21,0.21,0.5,55
5.0,14.61,13.36,13.85,1.343,0.205,0.136,4.313,0.217,7.5,56
7.01,5.827,196.5,5.757,11.23,3.33,0.416,15.13,0.348,0.5,90
5.02,3.12,1.935,3.21,0.295,0.21,0.18,3.27,0.07,0.5,49
8.14,3.708,16.25,6.293,58.62,0.762,0.237,59.78,0.723,15.0,59
4.36,7.36,1.935,13.49,0.65,0.22,0.11,4.86,0.37,0.5,40
5.12,2.55,3.14,21.73,1.63,0.72,0.52,5.87,0.21,0.5,54
5.07,2.48,4.05,2.03,5.41,1.28,0.41,7.69,0.43,0.5,62
4.78,2.25,4.14,2.02,0.56,0.1,0.045,4.68,0.06,0.5,37
4.93,4.742,1.935,12.41,1.606,0.376,0.094,4.778,0.296,0.5,41
7.64,0.867,186.4,289.5,92.89,1.494,0.097,94.9,7.632,15.0,60
5.05,3.36,11.41,1.57,5.5,1.87,0.27,10.85,0.22,0.5,70
